Array 	 Signal 	 Distance 	 Angle 	 Channel 	 Pnoise[W] 	 Psignal[W] 	 SNR_FAC 	 SNR_DB[db]
A4 	 SX 	 60 	 00 	 6 	 1.1501739148933502e-05 	 0.00010162735886691258 	 8.835825395704264 	 21.788145248040344
A4 	 SX 	 60 	 00 	 7 	 1.2002413884724088e-05 	 0.0001133699448716029 	 9.445595357771566 	 22.455485331407058
A4 	 SX 	 60 	 22,5 	 average 	 1.20970204774793e-05 	 8.305886420255634e-05 	 6.824819804954512 	 18.878957361782657
A4 	 SX 	 60 	 22,5 	 1 	 1.2916787516950829e-05 	 7.166728822780141e-05 	 5.548383306124043 	 17.135065891295
A4 	 SX 	 60 	 22,5 	 2 	 1.2539483146112422e-05 	 9.15370864323991e-05 	 7.299909044558831 	 19.87861888427248
A4 	 SX 	 60 	 22,5 	 3 	 1.2681098847118109e-05 	 0.00011081818270919911 	 8.73884700728309 	 21.67778259601565
A4 	 SX 	 60 	 22,5 	 4 	 1.0727919757454009e-05 	 4.119017753933697e-05 	 3.839530726422247 	 13.4535015247092
A4 	 SX 	 60 	 22,5 	 5 	 1.1212029406161788e-05 	 8.691668520847112e-05 	 7.752092155654209 	 20.479627625020925
A4 	 SX 	 60 	 22,5 	 6 	 1.1935285923508172e-05 	 8.676680273878734e-05 	 7.2697716078915455 	 19.83724875356146
A4 	 SX 	 60 	 22,5 	 7 	 1.2269217707405166e-05 	 6.651975513820981e-05 	 5.421678604501523 	 16.90405473130254
A4 	 SX 	 60 	 45 	 average 	 2.105498078533044e-05 	 0.00010245000417057993 	 4.79765918843958 	 15.329425751215243
A4 	 SX 	 60 	 45 	 1 	 2.1435483987102027e-05 	 0.00015458319854395593 	 7.211556251166075 	 19.756847742143034
A4 	 SX 	 60 	 45 	 2 	 2.416963673109771e-05 	 0.00013032057866075217 	 5.391913006829599 	 16.849002397316358
A4 	 SX 	 60 	 45 	 3 	 2.3610914705845795e-05 	 0.00012342744407371306 	 5.227558763030634 	 16.539443933919774
A4 	 SX 	 60 	 45 	 4 	 1.9151041997090284e-05 	 7.492988494000374e-05 	 3.9125748328152703 	 13.641956822815127
A4 	 SX 	 60 	 45 	 5 	 2.1575541412927284e-05 	 8.161008033270877e-05 	 3.7825275746642895 	 13.303924567170638
A4 	 SX 	 60 	 45 	 6 	 2.0060615744243832e-05 	 7.055208051708645e-05 	 3.5169449141824356 	 12.57592690640277
A4 	 SX 	 60 	 45 	 7 	 1.7451514144655787e-05 	 5.820935624403759e-05 	 3.3354903053992686 	 12.04619686672209
A4 	 SX 	 60 	 67,5 	 average 	 1.2934368526743153e-05 	 7.482402808619472e-05 	 5.70968206712131 	 16.648913414153036
A4 	 SX 	 60 	 67,5 	 1 	 1.2337704115433092e-05 	 6.97337389235302e-05 	 5.652083910514685 	 17.32024310875327
A4 	 SX 	 60 	 67,5 	 2 	 1.3071437697709713e-05 	 0.00010922261931674085 	 8.35582296627387 	 21.22958657049811
A4 	 SX 	 60 	 67,5 	 3 	 1.3244398318388303e-05 	 8.974423505201149e-05 	 6.776014500214184 	 19.133890972846217
